n,WD,MD
55,3758477,15051982
53,437753,6930045
53,1291476,4562920
51,584884,4314046
53,2712554,40415061
40,31922,198887
48,698763,1986091
51,44129,1016007
39,27612,56423
61,5515221,50876842
51,217930,870049
53,168875,574828
51,1641947,15880491
54,416211,3028603
42,458233,2261639
47,219198,505361
49,842064,6455047
58,1226749,17089415
55,748135,5812224
57,6124799,30404138
59,3261028,56793815
47,298211,661919
55,245756,9764882
53,7718869,17910604
54,735236,3462031
50,1742158,8160510
53,207823,1912440
58,4407090,38046141
51,117219,1549755
44,26318,29172
50,181113,470114
42,18382,77923
50,737820,2284496
57,6517926,100780857
46,428247,1569648
45,87676,685970
47,459335,994792
53,1849325,9260970
41,10421,90406
47,223061,1710258
55,3641584,63314631
55,422122,6314071
53,67449,164591
47,769778,3348748